11	once,11
12	doce,12
13	trece,13
14	catorce,14
15	quince,15
16	dieciséis,16
17	diecisiete,17
18	dieciocho,18
20	veinte,20
30	treinta,30
3	tres,3
60	sesenta,60
70	setenta,70
7	siete,7
80	ochenta,80
90	noventa,90
9	nueve,9
abdomen	abdomen
abuela	abuela
abundancia	abundancia
aburrimiento	aburrimiento
academia	academia
académica	académica
accidente	accidente
actriz	actriz
actualización	actualización
ademán	ademán
adoptada	adoptada
adoptar	adoptar
adulta	adulta
adversario	adversario
aeropuerto	aeropuerto
agenda	agenda
agradecer	agradecer
agrario	agrario
agricultura	agricultura
águila	águila
álbum	álbum
alcohol	alcohol
almohada	almohada
almuerzo	almuerzo
alrededores	alrededores
aluminio	aluminio
amarillo	amarillo
amenaza	amenaza
amén	amén
amnistía	amnistía
análisis	análisis
analizar	analizar
anatomía	anatomía
anécdota	anécdota
aniversario	aniversario
antena	antena
antiterrorista	antiterrorista
antología	antología
antropología	antropología
apellido	apellido
aprender	aprender
araña	araña
arce	arce
archipiélago	archipiélago
arma	arma
armas	armas
arquero	arquero
arquitecto	arquitecto
arquitectura	arquitectura
artillería	artillería
artista	artista
arzobispo	arzobispo
asma	asma
atardecer	atardecer
atleta	atleta
auge	auge
aula	aula
aurora	aurora
autonomía	autonomía
autor	autor
ayer	ayer
bacterias	bacterias
baja	baja
ballet	ballet
baloncesto	baloncesto
banquero	banquero
bautista	bautista
béisbol	béisbol
bicicleta	bicicleta
biología	biología
boletín	boletín
botones	botones
brazo	brazo
brigada	brigada
burgués	burgués
burguesía	burguesía
búsqueda	búsqueda
calcio	calcio
cama	cama
camisa	camisa
campaña	campaña
campesino	campesino
canario	canario
cáncer	cáncer
canciller	canciller
canción	canción
candidato	candidato
candidatura	candidatura
canela	canela
caos	caos
capitalista	capitalista
captura	captura
cárcel	cárcel
carolina	carolina
cartón	cartón
cascos	cascos
catálogo	catálogo
catástrofe	catástrofe
categoría	categoría
catorce	catorce,14
cazador	cazador
celos	celos
censo	censo
